ID,Name,Partei,Sektor,Land,Type
uvdl,Ursula von der Leyen,CDU,1,Belgien,1
lk,Lars Klingbeil,SPD,1,Deutschland,1
nr,Norbert Röttgen,CDU,1,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,1,Deutschland,1
cs,Constanze Stelzenmüller,NA,2,USA,1
fh,Folge Fünfhundert,NA,NA,NA,2
cl,Christian Lindner,FDP,1,Deutschland,1
ks,Karl Schlögel,NA,3,Österreich,1
lm,Ljudmyla Melnyk,NA,3,Ukraine,1
kd,Kristina Dunz,NA,2,Deutschland,1
el,Egils Levits,NA,1,Lettland,1
fhe,Folge Fünfhunderteins,NA,NA,NA,2
ab,Annalena Baerbock,Die Grünen,1,Deutschland,1
ft,Frans Timmermans,NA,1,Niederlande,1
am,Andrij Melnyk,NA,1,Ukraine,1
agl,Alexander Graf Lambsdorff,FDP,1,Deutschland,1
er,Egon Ramms,NA,4,Deutschland,1
fhz,Folge Fünfhundertzwei,NA,NA,NA,2
rh,Robert Habeck,Die Grünen,1,Deutschland,1
cm,Claudia Major,NA,3,Deutschland,1
kp,Katja Petrowskaja,NA,2,Ukraine,1
rk,Roderich Kiesewetter,CDU,1,Deutschland,1
fhd,Folge Fünfhundertdrei,NA,NA,NA,2
sb,Stefanie Babst,NA,1,Deutschland,1
ch,Christoph Heusgen,NA,1,Deutschland,1
mw,Marina Weisband,NA,2,Ukraine,1
fhv,Folge Fünfhundertvier,NA,NA,NA,2
os,Olaf Scholz,SPD,1,Deutschland,1
fhf,Folge Fünfhunderfünf,NA,NA,NA,2
cdu,Christlich demokratische Partei,NA,NA,Deutschland,3
fdp,Freie demokratische Partei,NA,NA,Deutschland,3
dg,Die Grünen,NA,NA,Deutschland,3
spd,Soziale Partei Deutschland,NA,NA,Deutschland,3
dl,Die Linke,NA,NA,Deutschland,3
